Year,Duration,Title,Genre,Director,Sales,Type
1990,111,Tie Me Up! Tie Me Down!,Comedy,"Almod�var, Pedro",2069521700,Film
1991,113,High Heels,Comedy,"Almod�var, Pedro",2797501328,Film
1983,104,"Dead Zone, The",Horror,"Cronenberg, David",2847246203,Film
1979,122,Cuba,Action,"Lester, Richard",1347597973,Film
1978,94,Days of Heaven,Drama,"Malick, Terrence",2048359754,Film
1983,140,Octopussy,Action,"Glen, John",1544455963,Film
1984,101,Target Eagle,Action,"Loma, Jos� Antonio de la",2201647264,Film
1989,99,"American Angels: Baptism of Blood, The",Drama,"Sebastian, Beverly",1670516444,Film
1985,104,Subway,Drama,"Besson, Luc",1518815515,Film
1990,149,Camille Claudel,Drama,"Nuytten, Bruno",1332698830,Film
1982,188,Fanny and Alexander,Drama,"Bergman, Ingmar",1243089244,Film
1982,117,Tragedy of a Ridiculous Man,Drama,"Bertolucci, Bernardo",1662899439,Film
1966,103,A Man & a Woman,Drama,"Lelouch, Claude",1005973645,Film
1986,112,A Man & a Woman: Twenty Years Later,Drama,"Lelouch, Claude",1056057720,Film
1966,103,Un Hombre y una Mujer,Drama,"Lelouch, Claude",1074149279,Film
1985,112,"Official Story, The",Drama,"Puenzo, Luiz",1273576220,Film
1976,150,"Lindbergh Kidnapping Case, The",Drama,"Kulik, Buzz",1028570942,Film
1929,84,Blackmail,Mystery,"Hitchcock, Alfred",1450026933,Film
1963,109,Donovan's Reef,Comedy,"Ford, John",1027082707,Film
1988,110,Tucker: The Man & His Dream,Drama,"Coppola, Francis Ford",775398007,Film
1988,101,Scrooged,Comedy,"Donner, Richard",1402809540,Film
1981,116,Raiders of the Lost Ark,Action,"Spielberg, Steven",1081142612,Film
1987,101,"Running Man, The",Science Fiction,"Glaser, Paul Michael",928760770,Film
1991,105,Predator 2,Action,"Hopkins, Stephen",792910554,Film
1988,127,Colors,Drama,"Hopper, Dennis",1073394593,Film
1990,97,Zandalee,Drama,"Pillsbury, Sam",1128462972,Film
1988,,Miles from Home,Drama,"Sinise, Gary",865011746,Film
1980,,Happy Birthday to Me,Horror,"Thompson, J. Lee",1066179747,Film
1989,88,Final Notice,Mystery,"Stern, Steven Hilliard",1063611805,Film
1979,110,Quintet,Drama,"Altman, Robert",1310466296,Film
1960,90,"Devil's Eye, The",Drama,"Bergman, Ingmar",1066970811,Film
1957,91,Wild Strawberries,Drama,"Bergman, Ingmar",822824522,Film
1956,96,"Seventh Seal, The",Drama,"Bergman, Ingmar",1214811252,Film
1992,90,Germicide,Drama,,1153337496,Film
1955,86,Dreams,Drama,"Bergman, Ingmar",694394724,Film
1955,95,"Naked Night, The",Drama,"Bergman, Ingmar",825025036,Film
1962,91,Through a Glass Darkly,Drama,"Bergman, Ingmar",962542945,Film
1972,91,Cries & Whispers,Drama,"Bergman, Ingmar",1033928303,Film
1958,104,"Barbarian & the Geisha, The",Action,"Huston, John",836303693,Film
1967,130,Casino Royale,Comedy,"Hughes, Ken",1281508100,Film
1962,,Dr. No,Action,"Young, Terence",1131927996,Film
1954,103,Elephant Walk,Drama,,863756051,Film
1979,121,Ten,Comedy,"Edwards, Blake",1342321665,Film
1983,118,"Man Who Loved Women, The",Comedy,"Edwards, Blake",940352645,Film
1966,190,Hawaii,Drama,"Hill, George Roy",868390560,Film
1966,125,Torn Curtain,Mystery,"Hitchcock, Alfred",1146030912,Film
1986,107,Duet for One,Drama,"Konchalovsky, Andrei",788976453,Film
1965,172,"Sound of Music, The",Music,"Wise, Robert",612054506,Film
1985,55,Gonzo Presents Muppet Weird Stuff,Comedy,,875458631,Film
1984,140,Tartuffe,Comedy,"Depardieu, G�rard",970766005,Film
1988,104,A New Life,Comedy,"Alda, Alan",966554929,Film
1978,106,Magic,Mystery,"Attenborough, Richard",782836791,Film
1992,286,Tommy,Music,"Russell, Ken",858848019,Film
1978,108,"Big Fix, The",Mystery,"Kagan, Jeremy Paul",1050693953,Film
1992,95,Alan & Naomi,Drama,"Vanwagenen, Sterling",1515341399,Film
1987,120,Fatal Attraction,Mystery,"Lyne, Adrian",1123794079,Film
1992,117,Patriot Games,Action,"Noyce, Phillip",547426372,Film
1981,106,"Woman Next Door, The",Drama,"Truffaut, Fran�ois",947495095,Film
1992,97,Hunting,Mystery,"Howson, Frank",1024121104,Film
1991,115,Bataan,War,,755356711,Film
1924,110,"Siegfried, The Nibelungenlied",Drama,"Lang, Fritz",894983373,Film
1991,90,"Henry, Portrait of a Serial Killer",Horror,,1159444662,Film
1988,118,"Big Blue, The",Drama,"Besson, Luc",1074419384,Film
1991,115,Flight of the Intruder,Drama,"Milius, John",1148485886,Film
1986,108,Nobody's Fool,Comedy,"Purcell, Evelyn",880166924,Film
1985,97,After Hours,Comedy,"Scorsese, Martin",1025468216,Film
1985,104,Desperately Seeking Susan,Comedy,"Seidelman, Susan",773350147,Film
1971,102,A New Leaf,Comedy,"May, Elaine",678226133,Film
1959,91,Killers of Kilimanjaro,Action,"Thorpe, Richard",873637528,Film
1926,126,Don Juan,Action,"Crosland, Alan",701796444,Film
1987,102,Babette's Feast,Drama,"Axel, Gabriel",746846894,Film
1989,118,"Vincent, Francois, Paul & the Others",Drama,,785896609,Film
1988,141,Thunderball,Action,"Young, Terrence",813367380,Film
1926,66,Lodger (Story of the London Fog),Mystery,"Hitchcock, Alfred",800059707,Film
1988,103,Appointment with Death,Mystery,"Donaggio, Michael Winner",709709780,Film
1974,128,Murder on the Orient Express,Mystery,"Lumet, Sidney",585796247,Film
1955,115,Blood Alley,War,"Wellman, William",1016813075,Film
1977,136,"Spy Who Loved Me, The",Action,"Gilbert, Lewis",790653942,Film
1988,100,Storm,Action,"Winning, David",897690072,Film
1991,89,Bloodbath,Horror,,853983911,Film
1989,103,Miami Cops,Action,"Bradley, Al",623933331,Film
1996,96,"Island of Dr. Moreau, The",Horror,"Frankenheimer, John",653779970,Film
1992,100,Eighty-Four Charing Cross Road,Drama,"Jones, David",960996492,Film
1980,124,"Elephant Man, The",Drama,"Lynch, David",475106177,Film
1988,90,Dr Alien,Science Fiction,"DeCoteau, David",817400891,Film
1982,120,Creepshow,Horror,"Romero, George A.",654264015,Film
1987,100,Sammy & Rosie Get Laid,Drama,"Frears, Stephen",1108569499,Film
1971,101,"Goalie's Anxiety at the Penalty Kick, The",Drama,"Wenders, Wim",1017003568,Film
1957,99,Mademoiselle Striptease,Comedy,"Allegret, Marc",934454096,Film
1969,86,"Women, The",Drama,"Aurel, Jean",698491347,Film
1958,77,That Naughty Girl,Comedy,"Boisrond, Michel",711025481,Film
1959,90,Voulez-Vous Danser Avec Moi?,Comedy,"Boisrond, Michel",977043483,Film
1967,100,"A Coeur Joie, (Head Over Heels)",Action,"Bourguignon, Serge",672806432,Film
1968,113,Shalako,Western,"Dmytryk, Edward",735099102,Film
1964,102,Contempt,Drama,"Godard, Jean-Luc",538375067,Film
1965,100,Dear Brigitte,Comedy,"Koster, Henry",836836967,Film
1962,134,A Very Private Affair,Drama,"Malle, Louis",942172396,Film
1964,99,"Ravishing Idiot, The",Comedy,"Molinaro, Edouard",829747654,Film
1958,90,"Bride Is Much Too Beautiful, The",Comedy,"Surin, Fred",745013115,Film
1955,90,Doctor at Sea,Comedy,"Thomas, Ralph",668045518,Film
1962,100,"Le Repos Du Guerrier, (Warrior's Rest)",War,"Vadim, Roger",579707738,Film
1957,90,And God Created Woman,Drama,"Vadim, Roger",896678241,Film
1973,87,Ms. Don Juan,Drama,"Vadim, Roger",476684675,Film
1987,97,Siesta,Drama,"Lambert, Mary",658344137,Film
1932,92,Rich & Strange,Drama,"Hitchcock, Alfred",741847937,Film
1987,104,Lionheart,Action,"Schaffner, Franklin J.",712205856,Film
1982,115,E. T. The Extra-Terrestrial,Science Fiction,"Spielberg, Steven",522657936,Film
1992,101,Cool World,Drama,"Bakshi, Ralph",469310836,Film
1988,83,Nadine,Comedy,"Benton, Robert",723192705,Film
1989,126,Batman,Action,"Burton, Tim",512568819,Film
1987,95,Blind Date,Comedy,"Edwards, Blake",634208384,Film
1982,101,Mother Lode,Action,"Heston, Charlton",743559645,Film
