Title,Director,Rating,Genre,Duration,Year
Top Gun: Maverick,JosephKosinski,8.6,"Action,Drama",130min,2022
Everything Everywhere All at Once,"DanKwan,",8.3,"Action,Adventure,Comedy",139min,2022
The Batman,MattReeves,7.9,"Action,Crime,Drama",176min,2022
Jurassic Park,StevenSpielberg,8.2,"Action,Adventure,Science Fiction",127min,1993
The Godfather,FrancisFordCoppola,9.2,"Crime,Drama",175min,1972
Spider-Man: No Way Home,JonWatts,8.3,"Action,Adventure,Fantasy",148min,2021
RRR (Rise Roar Revolt),S.S.Rajamouli,8.1,"Action,Drama",187min,2022
Pirates of the Caribbean: The Curse of the Black Pearl,GoreVerbinski,8.1,"Action,Adventure,Fantasy",143min,2003
Dune: Part One,DenisVilleneuve,8,"Action,Adventure,Drama",155min,2021
Goodfellas,MartinScorsese,8.7,"Biography,Crime,Drama",145min,1990
The Shawshank Redemption,FrankDarabont,9.3,Drama,142min,1994
Star Wars,GeorgeLucas,8.6,"Action,Adventure,Fantasy",121min,1977
Titanic,JamesCameron,7.9,"Drama,Romance",194min,1997
Harry Potter and the Sorcerers Stone,ChrisColumbus,7.6,"Adventure,Family,Fantasy",152min,2001
Once Upon a Time in... Hollywood,QuentinTarantino,7.6,"Comedy,Drama",161min,2019
The Goonies,RichardDonner,7.7,"Adventure,Comedy,Family",114min,1985
American Psycho,MaryHarron,7.6,"Crime,Drama,Horror",102min,2000
Avengers: Endgame,"AnthonyRusso,",8.4,"Action,Adventure,Drama",181min,2019
Star Wars: Episode III - Revenge of the Sith,GeorgeLucas,7.6,"Action,Adventure,Fantasy",140min,2005
The Gentlemen,GuyRitchie,7.8,"Action,Comedy,Crime",113min,2019
Whiplash,DamienChazelle,8.5,"Drama,Music",106min,2014
The Dark Knight,ChristopherNolan,9,"Action,Crime,Drama",152min,2008
Interstellar,ChristopherNolan,8.6,"Adventure,Drama,Science Fiction",169min,2014
Joker,ToddPhillips,8.4,"Crime,Drama,Thriller",122min,2019
Knives Out,RianJohnson,7.9,"Comedy,Crime,Drama",130min,2019
CODA,SianHeder,8,"Comedy,Drama,Music",111min,2021
The Fifth Element,LucBesson,7.6,"Action,Adventure,Science Fiction",126min,1997
Verdens verste menneske,JoachimTrier,7.9,"Comedy,Drama,Romance",128min,2021
Avatar,JamesCameron,7.8,"Action,Adventure,Fantasy",162min,2009
Mission: Impossible - Fallout,ChristopherMcQuarrie,7.7,"Action,Adventure,Thriller",147min,2018
Inception,ChristopherNolan,8.8,"Action,Adventure,Science Fiction",148min,2010
The Departed,MartinScorsese,8.5,"Crime,Drama,Thriller",151min,2006
K.G.F: Chapter 2,PrashanthNeel,8.6,"Action,Crime,Drama",168min,2022
Saving Private Ryan,StevenSpielberg,8.6,"Drama,War",169min,1998
1917,SamMendes,8.2,"Action,Drama,War",119min,2019
Forrest Gump,RobertZemeckis,8.8,"Drama,Romance",142min,1994
The Grand Budapest Hotel,WesAnderson,8.1,"Adventure,Comedy,Crime",99min,2014
Pulp Fiction,QuentinTarantino,8.9,"Crime,Drama",154min,1994
The Wolf of Wall Street,MartinScorsese,8.2,"Biography,Comedy,Crime",180min,2013
Requiem for a Dream,DarrenAronofsky,8.3,Drama,102min,2000
Heat,MichaelMann,8.3,"Action,Crime,Drama",170min,1995
Back to the Future,RobertZemeckis,8.5,"Adventure,Comedy,Science Fiction",116min,1985
Blade Runner 2049,DenisVilleneuve,8,"Action,Drama,Mystery",164min,2017
Taxi Driver,MartinScorsese,8.2,"Crime,Drama",114min,1976
Fight Club,DavidFincher,8.8,Drama,139min,1999
Rogue One,GarethEdwards,7.8,"Action,Adventure,Science Fiction",133min,2016
Watchmen,ZackSnyder,7.6,"Action,Drama,Mystery",162min,2009
The Godfather Part II,FrancisFordCoppola,9,"Crime,Drama",202min,1974
Ghostbusters,IvanReitman,7.8,"Action,Comedy,Fantasy",105min,1984
Inglourious Basterds,QuentinTarantino,8.3,"Adventure,Drama,War",153min,2009
Léon,LucBesson,8.5,"Action,Crime,Drama",110min,1994
Schindlers List,StevenSpielberg,9,"Biography,Drama,History",195min,1993
